[2026-02-20 17:59:32.558] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2026-02-20 17:59:32.558] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2026-02-20 17:59:32.560] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2026-02-20 17:59:32.560] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2026-02-20 17:59:32.565] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2026-02-20 17:59:32.565] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2026-02-20 17:59:32.567] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2026-02-20 17:59:32.567] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2026-02-20 17:59:32.577] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2026-02-20 17:59:32.578] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2026-02-20 17:59:32.579] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2026-02-20 17:59:32.580] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2026-02-20 17:59:32.586] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2026-02-20 17:59:32.587] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2026-02-20 17:59:32.588] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2026-02-20 17:59:32.589] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2026-02-20 17:59:32.598] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2026-02-20 17:59:32.598] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2026-02-20 17:59:32.603] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2026-02-20 17:59:32.603] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2026-02-20 17:59:32.605] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2026-02-20 17:59:32.605] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2026-02-20 17:59:32.609] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2026-02-20 17:59:32.610] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2026-02-20 17:59:32.611] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2026-02-20 17:59:32.612] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2026-02-20 17:59:32.616] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2026-02-20 17:59:32.616] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
